metro_area,net_yield,rentability_score,risk_score,reoi_index,rank,methodology_source
Charlotte, NC,2.94%,71.2,20.1,61.1,1,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Atlanta, GA,2.99%,69.5,26.4,56.3,2,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Dallas-Fort Worth, TX,2.75%,64.4,28.6,50.1,3,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Miami, FL,2.59%,68.3,41.9,47.3,4,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Phoenix, AZ,2.94%,67.4,53.3,40.7,5,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
New York, NY,2.19%,60.8,45.8,37.9,6,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Chicago, IL,2.80%,55.2,49.9,30.3,7,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Tampa, FL,1.81%,41.9,42.6,20.6,8,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Austin, TX,0.72%,32.3,23.6,20.5,9,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
Los Angeles, CA,1.01%,34.8,68.0,0.9,10,file:///c:/Users/mab07/OneDrive/Desktop/RealEstateResearch/reports/1_us_rental_market_analysis.md
